10.87.84.201 zsy9-mm-5gdmc-1101-LI-C-limgmt
10.87.84.203 zsy9-mm-5gdmc-1101-LI-I-lidata
10.55.188.6 zsy9-mm-5gdmc-1101-SLg-1-signet
10.55.188.7 zsy9-mm-5gdmc-1101-SLg-2-signet
10.55.188.8 zsy9-mm-5gdmc-1101-SLs-1-signet
10.55.188.9 zsy9-mm-5gdmc-1101-SLs-2-signet
10.55.188.10 zsy9-mm-5gdmc-1101-SGs-1-signet
10.55.188.11 zsy9-mm-5gdmc-1101-SGs-2-signet
10.55.188.12 zsy9-mm-5gdmc-1101-Sv-GTP-C-signet
173.121.2.4 zsy9-mm-5gdmc-1101-N2-1-s1net
173.121.2.5 zsy9-mm-5gdmc-1101-N2-2-s1net
10.55.188.13 zsy9-mm-5gdmc-1101-SBI-Client-signet
10.55.188.13 zsy9-mm-5gdmc-1101-SBI-Server-signet
10.55.254.65 pny9-sm-5gdmc-0003_s4s11_c_if
10.55.254.66 pny9-sm-5gdmc-0003_sgw_s5s8_c_if
10.55.254.67 pny9-sm-5gdmc-0003_sx_a_cp_if
10.55.249.44 pny9-sm-5gdmc-0003_s5s8_c
10.55.249.45 pny9-sm-5gdmc-0003_sxb_if
10.55.249.214 pny9-sm-5gdmc-0003_sbi_if
10.55.252.186 pny9-pcg-5gdmc-0003
10.55.238.195 sjy9-pcg-5gdmc-0002
10.55.249.43 pny9-sm-5gdmc-0003_vpngw_tunnel_ip
10.55.254.1 pny9-sm-5gdmc-0003_signet
10.31.41.241 pny9-sm-5gdmc-0003_cgnat_inside
10.55.250.177 pny9-sm-5gdmc-0004_s4s11_c_if
10.55.250.178 pny9-sm-5gdmc-0004_sgw_s5s8_c_if
10.55.250.179 pny9-sm-5gdmc-0004_sx_a_cp_if
10.55.250.181 pny9-sm-5gdmc-0004_s5s8_c
10.55.250.182 pny9-sm-5gdmc-0004_sxb_if
10.55.250.194 pny9-sm-5gdmc-0004_sbi_if
10.55.250.240 pny9-pcg-5gdmc-0004
10.55.238.160 sjy9-pcg-5gdmc-0001
10.55.250.176 pny9-sm-5gdmc-0004_vpngw_tunnel_ip
10.55.250.161 pny9-sm-5gdmc-0004_signet
10.31.19.161 pny9-sm-5gdmc-0004_cgnat_inside
10.55.173.145 cjy9-sm-5gdmc-1301_s4s11_c_if
10.55.173.146 cjy9-sm-5gdmc-1301_sgw_s5s8_c_if
10.55.173.147 cjy9-sm-5gdmc-1301_sx_a_cp_if
10.55.173.148 cjy9-sm-5gdmc-1301_s5s8_c
10.55.173.149 cjy9-sm-5gdmc-1301_sxb_if
10.55.173.153 cjy9-sm-5gdmc-1301_sbi_if
10.55.116.25 cjy9-pcg-5gdmc-2401
10.55.121.32 exy9-pcg-5gdmc-2501
10.55.193.5 wiy9-pcg-5gdmc-2101
10.55.196.192 wiy9-pcg-5gdmc-2201
10.55.173.144 cjy9-sm-5gdmc-1301_vpngw_tunnel_ip
